212,244,283,320,342,353,366,378,376,400,375,374,373,372,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,187,219,259,290,306,318,329,341,352,351,350,340,339,338,328,312,311,256,415,0,0,0,0,0,0,0,0,0,0
119,128,146,174,197,217,243,258,272,282,289,297,304,303,296,295,281,280,264,254,250,262,278,277,287,261,247,222,0,0
104,113,144,155,168,181,196,200,208,216,238,235,233,230,229,227,226,225,223,241,248,240,275,276,0,0,0,0,0,0
163,114,96,71,70,75,79,85,91,100,102,108,112,122,127,133,138,143,154,159,171,180,193,198,0,0,0,0,0,0
45,44,48,61,67,77,89,99,117,137,158,179,192,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,32,28,24,18,17,26,31,37,46,55,64,68,76,98,121,135,157,165,177,191,206,207,224,0,0,0,0,0,0
130,40,22,12,7,6,5,4,10,15,33,41,54,73,97,116,148,178,0,0,0,0,0,0,0,0,0,0,0,0
60,35,14,8,3,2,1,9,11,16,30,42,56,66,94,110,131,170,0,0,0,0,0,0,0,0,0,0,0,0
134,43,36,29,25,21,20,13,19,23,27,34,39,38,47,65,74,88,105,111,125,136,0,0,0,0,0,0,0,0
63,59,53,52,51,50,49,58,62,69,78,90,101,106,118,126,132,142,149,153,166,184,194,183,0,0,0,0,0,0
84,83,82,81,80,87,86,93,92,95,103,109,123,139,151,150,160,167,173,172,185,195,199,228,263,0,0,0,0,0
115,120,124,129,141,140,145,156,161,169,182,186,201,209,215,214,234,232,231,0,0,0,0,0,0,0,0,0,0,0
147,152,164,175,188,202,211,210,218,236,239,242,251,257,271,270,269,268,267,266,265,255,0,0,0,0,0,0,0,0
176,190,204,220,245,252,260,284,292,291,298,307,305,317,316,315,314,326,325,324,313,302,294,279,0,0,0,0,0,0
213,246,285,308,330,343,354,367,365,364,363,362,349,348,347,337,336,323,310,293,288,0,0,0,0,0,0,0,0,0
237,286,322,356,385,382,408,406,403,401,398,396,395,391,371,370,360,346,335,332,301,0,0,0,0,0,0,0,0,0
189,221,274,300,331,344,386,384,381,407,404,402,397,394,392,390,389,388,369,358,345,333,0,0,0,0,0,0,0,0
203,253,299,321,355,383,380,405,319,379,377,399,393,413,412,411,410,409,387,368,359,357,334,327,309,0,0,0,0,0
