Row,Anterior Area(um^2),Anterior BB#,Medial Area(um^2),Medial BB#,Posterior Area(um^2),Posterior BB#,Cell surface area(um^2),Assigned BB#,Ciliary row#,Avergae number of BBs per row,Cell height(um),Cell major widths(um),Cell minor widths(um),Horizontal section perimeter(um),Cell volume(um^3),VolumeDeficit,Anterior neighbor BB pairwise distance(um),Medial neighbor BB pairwise distance(um),Posterior neighbor BB pairwise distance(um),Anterior row pairwise distance(um),Medial row pairwise distance(um),Posterior row pairwise distance(um),Mean of ciliary row lengths,STD of ciliary row lengths,Posterior immature BB#,Posterior medial immature BB#,Anterior medial immature BB#,Anterior immature BB#
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1001,472.314636,152,1665.442192,276,591.918504,99,2729.675332,524,20,26.2,49.668,28.754,14.226,69.7390630011889,9771.665,0.081,1.79,1.964,2.31,1.727,2.995,1.943,47.041,5.732,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1002,464.462494,151,1688.646174,319,609.29594,101,2762.404608,561,19,29.526,49.048,30.408,14.102,71.846537770965,9760.558,0.114,1.427,1.664,2.128,1.905,3.231,2.468,46.542,5.508,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1003,494.040747,154,1816.956424,304,700.807634,90,3011.804805,541,19,28.474,52.694,31.089,14.308,73.6158910508835,11080.525,0.097,1.518,1.806,2.446,1.839,3.256,2.742,48.005,4.953,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1004,407.20424,150,1459.226455,275,576.459857,101,2442.890552,514,20,25.7,47.41,27.038,12.858,64.4942022538735,7937.045,0.08,1.543,1.885,2.448,1.52,2.697,2.205,44.519,5.069,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1005,509.359425,169,1704.472922,354,589.015596,113,2802.847943,613,19,32.263,51.68,30.488,9.653,69.1333872324948,7366.778,0.075,1.385,1.59,1.867,1.718,3.055,2.55,48.643,5.043,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1006,469.834568,150,1627.135828,306,645.707258,114,2742.677654,565,21,26.905,53.51,26.741,14.382,65.3799713335455,9518.572,0.117,1.663,1.868,2.347,1.774,2.716,2.149,47.4,8.623,0,0,0,0
010622 N=1 B1868 Poc1-mCh dividing cells_3-sld - 1007,470.999739,171,1768.500194,332,671.073935,109,2910.573868,605,19,31.842,49.031,31.868,14.878,75.4829404559459,10828.632,0.11,1.326,1.537,2.024,1.956,3.38,2.625,46.739,5.577,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 1,514.355967,160,1680.788076,337,553.878006,91,2749.022049,581,19,30.579,46.522,31.007,15.3,74.7853585926475,10251.537,0.113,1.397,1.44,1.863,1.885,3.363,2.768,42.518,4.587,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 10,517.639617,157,1638.264716,271,607.939319,96,2763.843652,516,19,27.158,49.352,28.167,15.176,70.3398114596392,10223.25,0.074,1.441,1.853,2.42,1.692,3.193,2.486,45.918,5.673,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 11,457.33311,154,1530.870836,230,581.906714,88,2570.11066,463,19,24.368,47.596,27.353,12.674,67.2378476066455,8731.055,-0.011,1.453,2.13,2.538,1.735,3.039,2.311,44.627,6.365,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 12,515.474337,162,1649.79689,233,691.898639,96,2857.169866,477,19,25.105,44.24,31.489,16.395,77.70397087419,11134.112,0.069,1.501,1.94,2.082,1.948,3.513,2.737,43.598,5.111,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 13,338.308637,136,1139.090083,210,415.147365,92,1892.546085,434,19,22.842,44.732,21.501,11.724,53.3727404927155,5430.027,0.08,1.338,2.076,2.342,1.501,2.413,1.936,40.703,6.215,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 14,370.369104,152,1150.112693,198,418.380348,82,1938.862145,430,19,22.632,35.877,27.618,12.89,66.3293114584315,6204.127,0.072,1.109,1.849,2.685,1.812,3,2.085,36.131,5.108,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 15,403.488841,148,1478.991398,248,564.682802,94,2447.163041,484,19,25.474,47.072,26.747,12.975,64.9298143238183,7885.369,0.078,1.395,1.937,2.531,1.499,2.898,2.181,44.834,4.864,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 16,383.27734,149,1325.445424,213,492.070089,88,2200.792853,439,19,23.105,47.148,22.694,13.53,57.9346903747249,7168.824,0.054,1.5,2.227,2.461,1.287,2.673,2.126,43.664,5.649,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 17,362.690569,131,1155.439946,204,437.203412,90,1955.333927,419,20,20.95,39.452,25.55,11.102,60.6316962876941,5750.073,0.019,1.484,2.043,2.193,1.682,2.62,1.96,36.768,5.7,0,0,0,0
100522 B1868 Poc1-mCh asynchronous cells-sld - 18,500.945562,151,1394.86343,242,490.467022,80,2386.276014,448,20,22.4,46.309,25.507,16.661,63.6293595824821,7584.883,0.264,1.416,2.073,2.544,1.475,2.743,2.06,40.371,7.404,0,0,0,0
